112422802549,Q, [Lev2MdSpi] pointer to queue inited address is 0x7ff129f7aba0
112423974300,Q, [OnRspUserLogin], Success!
112427549436,Q, [OnRtnTransaction] ,2,300377,95201840,0,100,2,2011,7784001,0,7594172,238425153,381989886,0,N,7784001
112427549444,Q, [OnRtnOrderDetail] ,2,300377,95201840,8.39,400,2,2,2011,7784002,238425162,381989890,0,7784002,A,7784002
112427549447,Q, [OnRtnTransaction] ,2,300377,95201840,8.39,400,1,2011,7784003,6502229,7784002,238425163,381989891,0,N,7784003
112427549463,Q, [OnRtnOrderDetail] ,2,300377,95201840,8.39,600,2,2,2011,7784004,238425164,381989891,0,7784004,A,7784004
112427549466,Q, [OnRtnTransaction] ,2,300377,95201840,8.39,600,1,2011,7784005,6502229,7784004,238425165,381989892,0,N,7784005
112427549469,Q, [OnRtnOrderDetail] ,2,300377,95201930,8.39,1900,2,2,2011,7784262,238426717,381992416,0,7784262,A,7784262
112427549472,Q, [OnRtnTransaction] ,2,300377,95201930,8.39,1900,1,2011,7784263,6502229,7784262,238426718,381992417,0,N,7784263
112428039701,Q, [OnRtnOrderDetail] ,2,300377,95202160,8.39,300,2,2,2011,7785023,238431266,382972881,0,7785023,A,7785023
112428039757,Q, [OnRtnTransaction] ,2,300377,95202160,8.39,300,1,2011,7785024,6502229,7785023,238431267,382972882,0,N,7785024
112428044006,Q, [OnRtnTransaction] ,2,300377,95202180,0,3400,2,2011,7785065,6814591,0,238431585,382973373,0,N,7785065
112428044480,Q, [OnRtnOrderDetail] ,2,300377,95202180,8.39,300,2,2,2011,7785071,238431622,382973390,0,7785071,A,7785071
112428044496,Q, [OnRtnTransaction] ,2,300377,95202180,8.39,300,1,2011,7785072,6502229,7785071,238431623,382973390,0,N,7785072
112428044502,Q, [OnRtnOrderDetail] ,2,300377,95202180,8.39,100,2,2,2011,7785077,238431657,382973407,0,7785077,A,7785077
112428044506,Q, [OnRtnTransaction] ,2,300377,95202180,8.39,100,1,2011,7785078,6502229,7785077,238431658,382973407,0,N,7785078
112428048474,Q, [OnRtnOrderDetail] ,2,300377,95202200,8.39,500,2,2,2011,7785112,238431917,382973730,0,7785112,A,7785112
112428048490,Q, [OnRtnTransaction] ,2,300377,95202200,8.39,500,1,2011,7785113,6502229,7785112,238431918,382973730,0,N,7785113
